Segment,Novelty,Representativeness,Main_Topics
1,0.0,0.385,"['追う', '決める', 'テーマ', 'やる', 'sdgs']"
2,0.776,0.346,"['やる', '置く', '興味', 'とく', 'かなう']"
3,0.64,0.464,"['忘れる', 'やる', 'sdgs', '生活', 'いい']"
4,0.594,0.45,"['メモ', 'sdgs', 'いい', 'みたい', '教育']"
5,0.828,0.527,"['生活', '学校', 'ブック', 'フェイス', '載せる']"
6,0.789,0.376,"['方法', '染める', '決め', 'テーマ', '大丈夫']"
7,0.867,0.424,"['入る', '高校生', 'ミカミ', 'みる', '出す']"
8,0.832,0.368,"['行く', 'あん', 'ルート', '挙げる', '校則']"
9,0.808,0.336,"['登る', '指導', '行く', '序の口', '見張る']"
10,0.928,0.343,"['ダメ', '校歌', 'ゲーム', 'スマ', 'すぎる']"
11,0.938,0.332,"['書く', '刑務所', '違う', 'ふる', '口コミ']"
12,0.86,0.327,"['変わる', '始める', 'オッケー', '校則', 'うち']"
13,0.956,0.351,"['話す', '提出', '決まる', '普通', 'なくなる']"
14,0.955,0.376,"['ロッカー', '高校', '校則', 'メイク', '聞く']"
15,0.916,0.248,"['バレる', '怒る', 'セット', '破る', 'ナゲット']"
16,0.979,0.332,"['電車', '使う', 'しれる', '一貫', '中高']"
17,0.858,0.347,"['全員', 'ヶ月', 'バレる', 'やばい', 'わかる']"
18,0.918,0.293,"['クラス', '最初', '400', '年生', 'うち']"
19,0.971,0.321,"['プール', '一貫', '中高', '受験', 'する']"
20,0.83,0.31,"['もの', '消費', 'リスト', '考える', 'テーマ']"
