Segment,Novelty,Representativeness,Main_Topics
1,0.0,0.496,"['実現', 'ふる', '会議', '交える', 'いう']"
2,0.841,0.39,"['こっち', '先生', '生徒', '外部', '喋る']"
3,0.838,0.432,"['問題', '理解', 'する', '評価', 'みたい']"
4,0.902,0.331,"['入る', 'ちゃう', 'もらう', '戻す', '暴言']"
5,0.841,0.433,"['段階', '生徒', '感じ', '代表', '多い']"
6,0.853,0.358,"['そこ', 'まとまる', '一致', '服装', '終わる']"
7,0.864,0.346,"['地域', '学校', '呼ぶ', '電車', '言い方']"
8,0.548,0.426,"['地域', '違う', '集める', 'する', '学校']"
9,0.871,0.385,"['大きい', '大人', 'わけ', '話し合い', '結果']"
10,0.854,0.335,"['ストライキ', '一番', '効果', '良い', 'マジ']"
11,0.874,0.429,"['期間', '染める', '絶対', '使用', '反発']"
12,0.551,0.383,"['期間', '使用', '抜き打ち', 'する', '厳しい']"
13,0.754,0.49,"['優しい', 'やる', 'する', '校則', '絶対']"
14,0.731,0.463,"['いい', '納得', 'する', '教育', 'そん']"
15,0.719,0.423,"['いける', '作る', '拾う', 'てる', 'なん']"
16,0.73,0.331,"['体罰', '懲罰', '入る', 'ノイキャン', 'そん']"
17,0.957,0.359,"['視点', '平和', '解決', '暴力', '以外']"
18,0.852,0.321,"['平成', 'ブラック', 'さっき', '以外', 'そん']"
19,0.974,0.291,"['2019', 'あたり', 'すごい', '議論', '校内']"
20,0.858,0.276,"['103', '一緒', '価値', '時代', '結局']"
