Segment,Novelty,Representativeness,Main_Topics
1,0.0,0.404,"['入る', 'オッケー', 'sdgs', '基礎', 'やる']"
2,0.775,0.39,"['社会', '白い', 'サンゴ礁', 'やる', '方法']"
3,0.863,0.444,"['話す', 'みんな', '掘り下げる', '意見', 'そう']"
4,0.71,0.45,"['する', 'ちゃう', 'やる', 'てる', '実生活']"
5,0.73,0.426,"['ゴミ', 'すぎる', '学校', '珊瑚礁', 'でかい']"
6,0.873,0.403,"['有働', '繋がる', 'キャリア', '入る', '一番']"
7,0.841,0.457,"['マイク', 'やすい', '地域', '来る', 'しれる']"
8,0.757,0.429,"['書く', '20', 'まとめる', '確か', '実行']"
9,0.736,0.429,"['マップ', '防災', 'する', '逃げる', 'いう']"
10,0.855,0.525,"['ゴール', 'てる', '外部', 'そこ', '話題']"
11,0.677,0.528,"['いう', 'やすい', '見える', 'てる', '考える']"
12,0.842,0.439,"['学校', '校則', '問題', '生徒', '考える']"
13,0.805,0.455,"['ヘッドホン', '入る', 'てる', 'パソコン', '考える']"
14,0.795,0.453,"['さっき', '掘る', '話題', 'いう', 'そう']"
15,0.881,0.374,"['出る', '大学', 'ちゃう', '小中', 'わかる']"
16,0.855,0.372,"['校則', '禁止', 'ゆう', '高校', '違う']"
17,0.709,0.365,"['小中', '意味', '中学', 'わかる', '中高']"
18,0.823,0.421,"['遊ぶ', '校則', '深める', '作る', 'そっ']"
19,0.852,0.301,"['鉛筆', 'ペン', 'ボールペン', '使う', '小学校']"
20,0.856,0.285,"['まとめ', 'お願い', '決まる', '年生', '終了']"
